ID,Reference,refyear,OriginalTitle,FrenchTitle,EnglishTitle,CommitteDecisionDate,kind,Genre,support,SecretariatDecision,firstfilm,secondfilm,budget,reason,Director,key,AnnouncedAmount,CoproducerId,country1,countryname1_english,percentage_participation,contributor_rank,majmin,lumieres_id,lumieres_title,lumieres_matching_title,lumieres_directors,lumieres_prod_year,lumieres_relevance,lumieres_admissions,imdb_id,imdb_ratings,imdb_nbvotes
6459,11-066-F,2011,The Girl and the Death,La Jeune Fille et la Mort,,2011-06-10,Fiction,,Rejected,Eligible,0,0,2271118.0,,['Jos Stelling'],6459,"[851300.0, 1419818.0]","[12429, 26611]","['DE ', 'NL ']","['Germany', 'Netherlands']","[0.37484, 0.62516]","[2, 1]","['Minority', 'Majority']",44070,Het Meisje en de Dood,The Girl and Death,Jos Stelling,2012,0.95,11670,tt2103171,6.4,785
6460,11-067-F,2011,Ce que le jour doit à la nuit,,,,Fiction,,Inelegible,Withdrawal Secretariat,0,0,15933600.0,,['Alexandre Arcady'],6460,"[2093600.0, 13840000.0]","[14853, 20430]","['BE ', 'FR ']","['Belgium', 'France']","[0.1314, 0.8686]","[2, 1]","['Minority', 'Majority']",39118,Ce que le jour doit à la nuit,Ce que le jour doit à la nuit,Alexandre Arcady,2012,1.0,323646,tt1934205,7.8,4019
6461,11-068-F,2011,The Broken Circle Breakdown,Alabama Monroe,Alabama Monroe,2011-06-10,Fiction,,Supported,Eligible,0,0,2300000.0,,['Felix Van Groeningen'],6461,"[459968.0, 1839873.0]","[25191, 26259]","['NL ', 'BE ']","['Netherlands', 'Belgium']","[0.19999, 0.79994]","[4, 2]","['Minority', 'Minority']",43302,The Broken Circle Breakdown,Alabama & Monroe,Felix Van Groeningen,2012,0.95,1046030,tt2024519,7.7,43437
6462,11-069-F,2011,Ludwig II,Louis II,,2011-06-10,Fiction,,Rejected,Eligible,0,0,15805843.0,,['Peter Sehr'],6462,"[12644675.0, 3161168.0]","[40, 89]","['DE ', 'AT ']","['Germany', 'Austria']","[0.8, 0.2]","[1, 2]","['Majority', 'Minority']",40893,Ludwig II,Ludwig II,"Marie Noelle, Peter Sehr",2012,1.0,139422,tt2180463,6.1,880
6463,11-070-F,2011,Love Eternal,,,2011-06-10,Fiction,,Rejected,Eligible,0,1,2494867.0,,['Brendan Muldowney'],6463,"[910381.0, 251719.0, 1332767.0]","[9795, 15297, 22319]","['LU ', 'NL ', 'IE ']","['Luxembourg', 'Netherlands', 'Ireland']","[0.3649, 0.10089, 0.5342]","[2, 3, 1]","['Minority', 'Minority', 'Majority']",49128,Love Eternal,Love Eternal,Brendan Muldowney,2013,1.0,1192,tt1376713,6.1,636
6464,11-071-C,2011,Cheek to Cheek - Argentinians discover the Finnish Tango,,Midsummer Night's Tango,2011-06-10,Documentary,,Supported,Eligible,0,0,587351.0,,['Viviane Blumenschein'],6464,"[155016.0, 543737.0, 88131.0]","[21002, 22477, 26177]","['FI ', 'DE ', 'AR ']","['Finland', 'Germany', 'Argentina']","[0.26392, 0.92574, 0.15005]","[4, 1, 7]","['Minority', 'Majority', 'Minority']",45131,Mittsommernachtstango,Midsummer Night's Tango,Viviane Blumenschein,2013,1.0,60617,tt2705574,7.3,136
6466,11-073-F,2011,The Last Hijack,Le dernier hold up - Les pirates de somali,,,Animation,,Inelegible,Withdrawal Producer,0,0,1570500.0,,"['Tommy Pallota', 'Femke Wolting']",6466,"[996890.0, 573610.0]","[26648, 26650]","['NL ', 'IE ']","['Netherlands', 'Ireland']","[0.63476, 0.36524]","[1, 2]","['Majority', 'Minority']",49130,Last Hijack,Last Hijack,"Tommy Pallotta, Femke Wolting, Mirka Duijn",2014,0.77,887,tt1702437,6.1,145
6467,11-074-F,2011,Measuring the World,,,2011-06-10,Fiction,,Rejected,Eligible,0,0,10700135.0,,['Detlev Buck'],6467,"[2161600.0, 8538535.0]","[199, 16291]","['AT ', 'DE ']","['Austria', 'Germany']","[0.20202, 0.79798]","[2, 1]","['Minority', 'Majority']",40857,Die Vermessung der Welt,Measuring the World,Detlev Buck,2012,1.0,715357,tt1571401,5.7,3183
6468,11-075-F,2011,Lifelong,,Woman and Man,,Fiction,,Inelegible,Withdrawal Producer,0,0,992683.0,,['Asli Ozge'],6468,"[337500.0, 655183.0]","[283, 1701]","['DE ', 'TR ']","['Germany', 'Türkiye']","[0.33999, 0.66001]","[2, 1]","['Minority', 'Majority']",43187,Hayatboyu,Lifelong,Asli Özge,2013,1.0,6955,tt2637978,5.7,595
6469,11-076-F,2011,Il Comandante e la Cicogna,,The Commander and the Stork,2011-06-10,Fiction,,Supported,Eligible,0,0,5051957.0,,['Silvio Soldini'],6469,"[4041566.0, 1010391.0]","[202, 350]","['IT ', 'CH ']","['Italy', 'Switzerland']","[0.8, 0.2]","[1, 2]","['Majority', 'Minority']",40931,Il comandante e la cicogna,The Commander and the Stork,Silvio Soldini,2012,1.0,236403,tt1904929,6.2,620
